TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.02;0.04;0.051;0.061;0.072;0.069;0.067;0.064;0.056;0.047;0.05;0.052;0.044;0.037;0.031;0.026;0.021;0.017;0.017;0.017;0.014;0.012;0.009;0.007;0.008;0.005;0.005;0.005;0.004;0.003;0.002;0.002;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0.04;0.08;0.101;0.122;0.143;0.138;0.133;0.128;0.111;0.094;0.099;0.104;0.089;0.073;0.062;0.051;0.042;0.033;0.034;0.034;0.029;0.023;0.019;0.014;0.015;0.009;0.009;0.009;0.007;0.005;0.004;0.003;0.002;0.002;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0.06;0.12;0.152;0.184;0.215;0.208;0.2;0.193;0.167;0.141;0.149;0.156;0.133;0.11;0.093;0.077;0.063;0.05;0.05;0.051;0.043;0.035;0.028;0.021;0.023;0.014;0.014;0.014;0.011;0.008;0.006;0.005;0.004;0.003;0.002;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0.08;0.16;0.203;0.245;0.287;0.277;0.267;0.257;0.223;0.189;0.199;0.209;0.178;0.146;0.124;0.102;0.084;0.066;0.067;0.068;0.057;0.046;0.037;0.028;0.03;0.018;0.018;0.018;0.014;0.01;0.008;0.006;0.005;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.1;0.201;0.253;0.306;0.359;0.346;0.333;0.321;0.278;0.236;0.248;0.261;0.222;0.183;0.155;0.128;0.105;0.083;0.084;0.085;0.071;0.058;0.046;0.035;0.038;0.023;0.023;0.023;0.018;0.013;0.01;0.008;0.006;0.004;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0.12;0.241;0.304;0.367;0.43;0.415;0.4;0.385;0.334;0.283;0.298;0.313;0.266;0.22;0.187;0.153;0.126;0.099;0.101;0.102;0.086;0.069;0.056;0.042;0.045;0.027;0.027;0.027;0.021;0.015;0.012;0.009;0.007;0.005;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0.14;0.281;0.355;0.428;0.502;0.484;0.467;0.449;0.39;0.33;0.348;0.365;0.311;0.256;0.218;0.179;0.147;0.116;0.118;0.119;0.1;0.081;0.065;0.049;0.053;0.032;0.032;0.032;0.025;0.018;0.014;0.011;0.008;0.006;0.004;0.003;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.16;0.321;0.405;0.489;0.574;0.554;0.534;0.514;0.445;0.377;0.397;0.417;0.355;0.293;0.249;0.205;0.169;0.132;0.134;0.136;0.114;0.092;0.074;0.056;0.06;0.036;0.036;0.036;0.028;0.02;0.016;0.012;0.009;0.007;0.004;0.003;0.002;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0.181;0.361;0.456;0.551;0.645;0.623;0.6;0.578;0.501;0.424;0.447;0.469;0.399;0.329;0.28;0.23;0.19;0.149;0.151;0.153;0.129;0.104;0.083;0.063;0.068;0.041;0.041;0.041;0.032;0.023;0.018;0.014;0.011;0.008;0.005;0.004;0.003;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
