TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.032;0.064;0.094;0.124;0.149;0.174;0.191;0.207;0.209;0.211;0.222;0.234;0.239;0.244;0.246;0.247;0.249;0.251;0.25;0.253;0.255;0.257;0.258;0.26;0.262;0.263;0.263;0.263;0.265;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.266;0.266;0.265;0.265;0.265;0.264;0.264;0.263;0.263;0.262;0.26;0.257;0.254;0.252;0.249;0.246;0.244;0.241;0.238;0.236;0.233;0.23;0.228;0.225;0.223;0.22;0.217;0.215;0.212;0.21
2;0;0.064;0.127;0.187;0.247;0.298;0.348;0.381;0.415;0.418;0.421;0.445;0.468;0.478;0.488;0.491;0.495;0.498;0.501;0.5;0.507;0.51;0.514;0.517;0.52;0.524;0.527;0.527;0.527;0.53;0.534;0.534;0.534;0.534;0.534;0.534;0.534;0.534;0.534;0.534;0.534;0.533;0.532;0.531;0.53;0.529;0.528;0.528;0.527;0.526;0.525;0.52;0.514;0.509;0.504;0.498;0.493;0.487;0.482;0.477;0.471;0.466;0.461;0.456;0.451;0.445;0.44;0.435;0.43;0.424;0.419
3;0;0.095;0.191;0.281;0.371;0.446;0.522;0.572;0.622;0.627;0.632;0.667;0.702;0.717;0.732;0.737;0.742;0.747;0.752;0.751;0.76;0.765;0.77;0.775;0.78;0.785;0.79;0.79;0.79;0.795;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.799;0.798;0.796;0.795;0.794;0.793;0.791;0.79;0.789;0.787;0.779;0.771;0.763;0.755;0.747;0.739;0.731;0.723;0.715;0.707;0.699;0.691;0.684;0.676;0.668;0.66;0.652;0.645;0.637;0.629
4;0;0.127;0.254;0.374;0.495;0.595;0.695;0.762;0.829;0.836;0.843;0.889;0.936;0.956;0.976;0.983;0.99;0.996;1.003;1.001;1.014;1.02;1.027;1.034;1.04;1.047;1.054;1.054;1.054;1.061;1.067;1.067;1.067;1.067;1.067;1.067;1.067;1.067;1.067;1.067;1.067;1.065;1.064;1.062;1.06;1.058;1.057;1.055;1.053;1.052;1.05;1.039;1.028;1.018;1.007;0.996;0.986;0.975;0.964;0.954;0.943;0.932;0.922;0.912;0.901;0.891;0.88;0.87;0.859;0.849;0.839
5;0;0.159;0.318;0.468;0.619;0.744;0.869;0.953;1.036;1.045;1.053;1.112;1.17;1.195;1.22;1.229;1.237;1.245;1.254;1.251;1.267;1.275;1.284;1.292;1.301;1.309;1.317;1.317;1.317;1.326;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.332;1.33;1.327;1.325;1.323;1.321;1.319;1.317;1.314;1.312;1.299;1.286;1.272;1.259;1.245;1.232;1.219;1.205;1.192;1.179;1.165;1.152;1.139;1.126;1.113;1.1;1.087;1.074;1.061;1.048
6;0;0.191;0.381;0.562;0.742;0.893;1.043;1.143;1.244;1.254;1.264;1.334;1.404;1.434;1.464;1.474;1.484;1.494;1.504;1.501;1.521;1.531;1.541;1.551;1.561;1.571;1.581;1.581;1.581;1.591;1.601;1.601;1.601;1.601;1.601;1.601;1.601;1.601;1.601;1.601;1.601;1.598;1.596;1.593;1.59;1.588;1.585;1.583;1.58;1.577;1.575;1.559;1.543;1.527;1.511;1.494;1.478;1.462;1.446;1.43;1.414;1.399;1.383;1.367;1.352;1.336;1.32;1.305;1.289;1.273;1.258
7;0;0.222;0.445;0.655;0.866;1.041;1.217;1.334;1.451;1.463;1.474;1.556;1.638;1.673;1.708;1.72;1.732;1.744;1.755;1.752;1.774;1.786;1.797;1.809;1.821;1.832;1.844;1.844;1.844;1.856;1.868;1.868;1.868;1.868;1.868;1.868;1.868;1.868;1.868;1.868;1.868;1.865;1.862;1.858;1.855;1.852;1.849;1.846;1.843;1.84;1.837;1.818;1.8;1.781;1.762;1.744;1.725;1.706;1.687;1.669;1.65;1.632;1.613;1.595;1.577;1.559;1.54;1.522;1.504;1.486;1.467
8;0;0.254;0.508;0.749;0.99;1.19;1.391;1.525;1.658;1.672;1.685;1.779;1.872;1.912;1.953;1.966;1.979;1.993;2.006;2.002;2.027;2.041;2.054;2.068;2.081;2.094;2.108;2.108;2.108;2.121;2.134;2.134;2.134;2.134;2.134;2.134;2.134;2.134;2.134;2.134;2.134;2.131;2.127;2.124;2.12;2.117;2.114;2.11;2.107;2.103;2.1;2.078;2.057;2.035;2.014;1.993;1.971;1.95;1.928;1.907;1.886;1.865;1.844;1.823;1.802;1.781;1.76;1.74;1.719;1.698;1.677
9;0;0.286;0.572;0.843;1.113;1.339;1.565;1.715;1.866;1.881;1.896;2.001;2.106;2.151;2.197;2.212;2.227;2.242;2.257;2.252;2.281;2.296;2.311;2.326;2.341;2.356;2.371;2.371;2.371;2.386;2.401;2.401;2.401;2.401;2.401;2.401;2.401;2.401;2.401;2.401;2.401;2.397;2.393;2.389;2.386;2.382;2.378;2.374;2.37;2.366;2.362;2.338;2.314;2.29;2.266;2.242;2.218;2.194;2.169;2.145;2.121;2.098;2.074;2.051;2.027;2.004;1.981;1.957;1.934;1.91;1.887
